model output z time halo
h148vdXsec 4032 0.02 13.59 2
h148vdXsec 3936 0.04 13.26 2
h148vdXsec 3840 0.06 12.94 2
h148vdXsec 3744 0.09 12.62 2
h148vdXsec 3648 0.11 12.29 2
h148vdXsec 3552 0.14 11.97 2
h148vdXsec 3456 0.17 11.65 2
h148vdXsec 3360 0.20 11.32 2
h148vdXsec 3264 0.23 11.00 2
h148vdXsec 3168 0.26 10.68 2
h148vdXsec 3072 0.29 10.35 2
h148vdXsec 2976 0.33 10.03 2
h148vdXsec 2880 0.36 9.71 2
h148vdXsec 2784 0.40 9.38 2
h148vdXsec 2688 0.44 9.06 3
h148vdXsec 2592 0.48 8.74 2
h148vdXsec 2496 0.53 8.41 2
h148vdXsec 2400 0.57 8.09 3
h148vdXsec 2304 0.62 7.77 3
h148vdXsec 2208 0.68 7.44 3
h148vdXsec 2112 0.73 7.12 3
h148vdXsec 2016 0.80 6.80 3
h148vdXsec 1920 0.86 6.47 3
h148vdXsec 1824 0.93 6.15 3
h148vdXsec 1728 1.01 5.83 3
h148vdXsec 1632 1.09 5.50 3
h148vdXsec 1536 1.19 5.18 3
h148vdXsec 1440 1.29 4.86 4
h148vdXsec 1344 1.40 4.53 4
h148vdXsec 1248 1.53 4.21 5
h148vdXsec 1152 1.67 3.89 5
h148vdXsec 1056 1.84 3.56 5
h148vdXsec 960 2.03 3.24 4
h148vdXsec 864 2.25 2.92 4
h148vdXsec 768 2.52 2.59 5
h148vdXsec 672 2.86 2.27 5
h148vdXsec 576 3.28 1.95 5
h148vdXsec 480 3.83 1.62 5
h148vdXsec 384 4.61 1.30 12
h148vdXsec 288 5.79 0.98 25
h148vdXsec 192 7.87 0.66 18
h148vdXsec 96 12.96 0.33 140
